Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
g2-512-90,Bisecting K-Means (worst split),1.743956,8483285848,1,0.693147181,1,1
g2-512-100,K-Means,1.221924,10475222486,1,0.693147181,1,1
g2-512-100,Bisecting K-Means (largest split),1.241956,10475222486,1,0.693147181,1,1
g2-512-100,Bisecting K-Means (worst split),1.403006,10475222486,1,0.693147181,1,1
g2-1024-10,K-Means,2.381,209679675.8,1,0.693147181,1,1
g2-1024-10,Bisecting K-Means (largest split),2.378003,209679675.8,1,0.693147181,1,1
g2-1024-10,Bisecting K-Means (worst split),2.334002,209679675.8,1,0.693147181,1,1
g2-1024-20,K-Means,2.190977,836522305.6,1,0.693147181,1,1
g2-1024-20,Bisecting K-Means (largest split),2.267005,836522305.6,1,0.693147181,1,1
g2-1024-20,Bisecting K-Means (worst split),2.366996,836522305.6,1,0.693147181,1,1
g2-1024-30,K-Means,2.168998,1882935768,1,0.693147181,1,1
g2-1024-30,Bisecting K-Means (largest split),2.254998,1882935768,1,0.693147181,1,1
g2-1024-30,Bisecting K-Means (worst split),2.345998,1882935768,1,0.693147181,1,1
g2-1024-40,K-Means,2.257997,3348534584,1,0.693147181,1,1
g2-1024-40,Bisecting K-Means (largest split),2.341995,3348534584,1,0.693147181,1,1
g2-1024-40,Bisecting K-Means (worst split),2.433026,3348534584,1,0.693147181,1,1
g2-1024-50,K-Means,2.181995,5241919265,1,0.693147181,1,1
g2-1024-50,Bisecting K-Means (largest split),2.523,5241919265,1,0.693147181,1,1
g2-1024-50,Bisecting K-Means (worst split),2.592003,5241919265,1,0.693147181,1,1
g2-1024-60,K-Means,5.704,7536705706,1,0.693147181,1,1
g2-1024-60,Bisecting K-Means (largest split),2.775679,7536705706,1,0.693147181,1,1
g2-1024-60,Bisecting K-Means (worst split),2.541397,7536705706,1,0.693147181,1,1
